ts,regime,A_sig,A_pnl,B_sig,B_pnl,C_sig,C_pnl,srcA,srcB,srcC,n,conf
1781373600,flat,F,,F,,F,,charon_only,cbr_only,blended,50,0.5131
1781377200,flat,F,,F,,F,,charon_only,cbr_only,blended,50,0.5597
1781380800,trend_up,L,-0.494,S,0.294,F,,charon_only,cbr_only,blended,24,0.1678
1781384400,trend_up,L,-0.9196,S,0.7196,F,,charon_only,cbr_only,blended,13,0.0452
1781388000,trend_up,L,-1.223,S,1.023,F,,charon_only,cbr_only,blended,36,0.2722
1781391600,trend_up,F,,S,0.9002,F,,charon_only,cbr_only,blended,30,0.2835
1781395200,trend_up,L,-1.2818,S,1.0818,F,,charon_only,cbr_only,blended,17,0.093
1781398800,trend_up,F,,S,0.7586,F,,charon_only,cbr_only,blended,31,0.2424
1781402400,trend_up,F,,S,-1.374,F,,charon_only,cbr_only,blended,22,0.1593
1781406000,trend_up,F,,S,-1.4657,F,,charon_only,cbr_only,blended,16,0.0829
1781409600,trend_up,F,,F,,F,,charon_only,cbr_only,blended,21,0.1373
1781413200,trend_up,F,,F,,F,,charon_only,cbr_only,blended,25,0.1846
1781416800,trend_up,F,,F,,F,,charon_only,cbr_only,blended,28,0.2062
1781420400,trend_up,F,,F,,F,,charon_only,cbr_only,blended,17,0.0942
1781424000,trend_up,F,,F,,F,,charon_only,cbr_only,blended,24,0.1683
1781427600,trend_up,F,,F,,F,,charon_only,cbr_only,blended,19,0.1153
1781431200,trend_up,F,,S,-2.172,F,,charon_only,cbr_only,blended,32,0.2584
1781434800,trend_up,F,,F,,F,,charon_only,cbr_only,blended,30,0.2302
1781438400,trend_up,F,,F,,F,,charon_only,cbr_only,blended,19,0.133
1781442000,trend_up,F,,L,1.9896,F,,charon_only,cbr_only,blended,20,0.1434
1781445600,trend_up,S,-2.6214,F,,F,,charon_only,cbr_only,blended,14,0.0606
1781449200,trend_up,S,-3.0556,F,,S,-3.0556,charon_only,cbr_only,blended,11,0.0427
1781452800,trend_up,S,-3.6833,F,,S,-3.6833,charon_only,cbr_only,blended,10,0.0345
1781456400,trend_up,S,-4.5418,F,,S,-4.5418,charon_only,cbr_only,charon_only,0,0.0
1781460000,trend_up,S,-4.2273,F,,S,-4.2273,charon_only,cbr_only,charon_only,0,0.0
1781463600,flat,F,,S,-4.4722,S,-4.4722,charon_only,cbr_only,blended,44,0.4598
1781467200,flat,F,,S,-5.2298,S,-5.2298,charon_only,cbr_only,blended,39,0.4956
1781470800,flat,L,2.7271,L,2.7271,L,2.7271,charon_only,cbr_only,blended,37,0.1013
1781474400,flat,L,2.078,L,2.078,L,2.078,charon_only,cbr_only,blended,39,0.2471
1781478000,flat,L,1.4509,L,1.4509,L,1.4509,charon_only,cbr_only,blended,36,0.2734
1781481600,flat,L,1.406,L,1.406,L,1.406,charon_only,cbr_only,blended,23,0.1729
1781485200,trend_up,F,,S,-1.6185,F,,charon_only,cbr_only,blended,33,0.3393
1781488800,trend_up,F,,F,,F,,charon_only,cbr_only,blended,39,0.3915
1781492400,trend_up,L,0.3236,F,,L,0.3236,charon_only,cbr_only,blended,32,0.3244
1781496000,trend_up,F,,L,0.9431,L,0.9431,charon_only,cbr_only,blended,50,0.3924
1781499600,trend_up,F,,L,0.4952,F,,charon_only,cbr_only,blended,50,0.3892
1781503200,trend_up,F,,L,0.7122,L,0.7122,charon_only,cbr_only,blended,48,0.385
1781506800,trend_up,F,,L,0.0024,L,0.0024,charon_only,cbr_only,blended,50,0.4267
1781510400,trend_up,F,,L,0.6663,F,,charon_only,cbr_only,blended,42,0.3718
1781514000,trend_up,F,,L,0.2708,L,0.2708,charon_only,cbr_only,blended,50,0.4192
1781517600,trend_up,F,,L,0.0936,F,,charon_only,cbr_only,blended,42,0.3491
1781521200,trend_up,L,0.2202,F,,L,0.2202,charon_only,cbr_only,blended,50,0.4142
1781524800,trend_up,L,-0.3877,F,,L,-0.3877,charon_only,cbr_only,blended,47,0.4073
1781528400,trend_up,L,0.5811,S,-0.7811,L,0.5811,charon_only,cbr_only,blended,50,0.3951
1781532000,trend_up,L,-0.2225,F,,L,-0.2225,charon_only,cbr_only,blended,50,0.4433
1781535600,trend_up,L,-1.2564,S,1.0564,L,-1.2564,charon_only,cbr_only,blended,36,0.3357
1781539200,trend_up,L,-1.107,F,,F,,charon_only,cbr_only,blended,46,0.3848
1781542800,trend_up,F,,S,0.5312,F,,charon_only,cbr_only,blended,50,0.4396
1781546400,trend_up,F,,L,-1.1696,F,,charon_only,cbr_only,blended,50,0.4611
1781550000,trend_up,F,,F,,F,,charon_only,cbr_only,blended,50,0.4494
1781553600,trend_up,F,,F,,F,,charon_only,cbr_only,blended,50,0.4539
1781557200,trend_up,F,,F,,F,,charon_only,cbr_only,blended,50,0.4539
1781560800,trend_up,F,,F,,F,,charon_only,cbr_only,blended,50,0.4262
1781564400,trend_up,F,,F,,F,,charon_only,cbr_only,blended,49,0.3793
1781568000,trend_up,F,,F,,F,,charon_only,cbr_only,blended,39,0.3227
1781571600,trend_up,F,,S,0.6423,F,,charon_only,cbr_only,blended,34,0.2849
1781575200,trend_up,S,-0.1532,F,,S,-0.1532,charon_only,cbr_only,blended,27,0.201
1781578800,trend_up,F,,S,0.4822,F,,charon_only,cbr_only,blended,20,0.1106
1781582400,trend_up,S,0.1507,F,,S,0.1507,charon_only,cbr_only,blended,27,0.2068
1781586000,trend_up,F,,S,0.4224,F,,charon_only,cbr_only,blended,23,0.153
1781589600,trend_up,F,,S,0.6615,F,,charon_only,cbr_only,blended,18,0.0984
1781593200,flat,F,,F,,F,,charon_only,cbr_only,blended,41,0.349
1781596800,flat,F,,S,1.466,F,,charon_only,cbr_only,blended,43,0.3702
1781600400,flat,F,,F,,F,,charon_only,cbr_only,blended,49,0.3744
1781604000,flat,F,,S,0.9189,F,,charon_only,cbr_only,blended,44,0.4214
1781607600,flat,F,,S,1.1902,S,1.1902,charon_only,cbr_only,blended,44,0.4203
1781611200,flat,F,,S,1.2403,F,,charon_only,cbr_only,blended,41,0.4225
1781614800,flat,F,,F,,F,,charon_only,cbr_only,blended,42,0.3442
1781618400,flat,F,,L,-1.2354,F,,charon_only,cbr_only,blended,44,0.3897
1781622000,flat,F,,S,1.5122,F,,charon_only,cbr_only,blended,50,0.4608
1781625600,flat,F,,S,1.3417,S,1.3417,charon_only,cbr_only,blended,46,0.4977
1781629200,flat,F,,S,1.3215,F,,charon_only,cbr_only,blended,50,0.466
1781632800,flat,F,,S,0.7656,F,,charon_only,cbr_only,blended,50,0.4938
1781636400,flat,F,,S,0.7746,S,0.7746,charon_only,cbr_only,blended,50,0.5162
1781640000,flat,F,,S,0.0549,F,,charon_only,cbr_only,blended,50,0.5304
1781643600,flat,F,,S,-0.2325,S,-0.2325,charon_only,cbr_only,blended,50,0.528
